"country_id","country","last_update"
2,"Algeria","2006-02-15 09:44:00"
3,"American Samoa","2006-02-15 09:44:00"
4,"Angola","2006-02-15 09:44:00"
5,"Anguilla","2006-02-15 09:44:00"
6,"Argentina","2006-02-15 09:44:00"
7,"Armenia","2006-02-15 09:44:00"
8,"Australia","2006-02-15 09:44:00"
9,"Austria","2006-02-15 09:44:00"
14,"Bolivia","2006-02-15 09:44:00"
17,"Bulgaria","2006-02-15 09:44:00"
18,"Cambodia","2006-02-15 09:44:00"
20,"Canada","2006-02-15 09:44:00"
24,"Colombia","2006-02-15 09:44:00"
30,"Estonia","2006-02-15 09:44:00"
31,"Ethiopia","2006-02-15 09:44:00"
35,"French Guiana","2006-02-15 09:44:00"
36,"French Polynesia","2006-02-15 09:44:00"
37,"Gambia","2006-02-15 09:44:00"
45,"Indonesia","2006-02-15 09:44:00"
54,"Latvia","2006-02-15 09:44:00"
56,"Lithuania","2006-02-15 09:44:00"
59,"Malaysia","2006-02-15 09:44:00"
61,"Moldova","2006-02-15 09:44:00"
69,"Nigeria","2006-02-15 09:44:00"
70,"North Korea","2006-02-15 09:44:00"
78,"Romania","2006-02-15 09:44:00"
82,"Saudi Arabia","2006-02-15 09:44:00"
84,"Slovakia","2006-02-15 09:44:00"
85,"South Africa","2006-02-15 09:44:00"
86,"South Korea","2006-02-15 09:44:00"
88,"Sri Lanka","2006-02-15 09:44:00"
93,"Tanzania","2006-02-15 09:44:00"
96,"Tunisia","2006-02-15 09:44:00"
104,"Venezuela","2006-02-15 09:44:00"
108,"Yugoslavia","2006-02-15 09:44:00"
109,"Zambia","2006-02-15 09:44:00"
